channel,phase,time
HHN,S,2003-11-28T06:07:38.464351
HHZ,P,2003-11-28T06:07:29.694887
HHN,S,2003-11-28T10:36:54.101882
HHZ,P,2003-11-28T10:36:46.130836
HHN,S,2003-12-03T06:57:09.188083
HHZ,P,2003-12-03T06:57:01.264978
HHN,S,2003-12-03T07:32:19.332595
HHN,S,2003-12-03T08:13:37.746187
HHZ,P,2003-12-03T08:13:28.651442
HHN,S,2003-12-03T15:38:39.054060
HHZ,P,2003-12-03T15:38:31.258507
HHN,S,2003-12-03T17:28:01.964153
HHZ,P,2003-12-03T17:27:53.086337
HHN,S,2003-12-03T18:40:28.307227
HHZ,P,2003-12-03T18:40:17.261585
HHN,S,2003-12-03T23:22:01.190671
HHZ,P,2003-12-03T23:21:52.249674
HHN,S,2003-12-04T00:07:08.321322
HHZ,P,2003-12-04T00:07:00.368966
HHN,S,2003-12-04T02:43:30.363655
HHZ,P,2003-12-04T02:43:22.570091
HHN,S,2003-12-04T04:18:52.026387
HHZ,P,2003-12-04T04:18:44.309047
HHN,S,2003-12-04T12:19:07.910808
HHZ,P,2003-12-04T12:19:00.091868
HHN,S,2003-12-04T14:22:28.431685
HHZ,P,2003-12-04T14:22:17.131098
HHN,S,2003-12-04T19:58:02.040546
HHZ,P,2003-12-04T19:57:53.047620
HHN,S,2003-12-04T20:56:24.333175
HHZ,P,2003-12-04T20:56:08.046673
HHN,S,2003-12-04T21:42:48.144676
HHZ,P,2003-12-04T21:42:39.058374
HHN,S,2003-12-04T22:44:24.254339
HHZ,P,2003-12-04T22:44:16.864634
HHN,S,2003-12-05T01:55:24.692430
HHZ,P,2003-12-05T01:55:15.595530
HHN,S,2003-12-05T05:11:09.895306
HHN,S,2003-12-05T05:53:30.213351
HHN,S,2003-12-05T07:46:18.710619
HHZ,P,2003-12-05T07:46:09.797741
HHN,S,2003-12-05T11:42:44.399336
HHZ,P,2003-12-05T11:42:35.392874
HHN,S,2003-12-05T12:18:58.407127
HHZ,P,2003-12-05T12:18:49.312450
HHN,S,2003-12-05T13:51:31.828143
HHZ,P,2003-12-05T13:51:19.819395
HHN,S,2003-12-05T17:35:24.211153
HHZ,P,2003-12-05T17:35:15.047658
HHN,S,2003-12-05T18:43:34.393672
HHZ,P,2003-12-05T18:43:25.322990
HHN,S,2003-12-05T19:36:03.408698
HHZ,P,2003-12-05T19:35:55.480587
HHN,S,2003-12-05T21:51:09.783622
HHZ,P,2003-12-05T21:51:01.977949
HHN,S,2003-12-05T22:51:18.987683
HHZ,P,2003-12-05T22:51:10.039367
HHN,S,2003-12-06T00:58:52.619947
HHZ,P,2003-12-06T00:58:41.959784
HHN,S,2003-12-06T01:34:50.268752
HHZ,P,2003-12-06T01:34:36.936305
HHN,S,2003-12-06T05:35:21.260747
HHZ,P,2003-12-06T05:35:12.433749
HHN,S,2003-12-06T15:37:03.707110
HHZ,P,2003-12-06T15:36:54.756828
HHN,S,2003-12-06T16:40:50.116389
HHN,S,2003-12-06T18:04:11.201737
HHZ,P,2003-12-06T18:03:58.484760
