Ho et al. origin time,Reproduced longitude,Reproduced latitude,Reproduced depth (km),Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2001-12-01T22:29:50.577004,160.92788144948278,-75.09811729480299,24.179688,2001-12-01T22:29:50.319754,-75.07509813419847,160.82828382163044,24.53125,,,,
2001-12-02T03:53:59.703929,161.20231207509562,-75.2633602822626,-4.648438,2001-12-02T03:53:59.821473,-75.28784356999506,161.21355830609028,-4.296875,,,,
2001-12-03T03:02:28.250918,161.16915618979988,-75.09120948872523,-4.648438,2001-12-03T03:02:28.574191,-75.18379152956972,160.88509503901898,120.859375,,,,
2001-12-03T08:16:32.335760,160.6572635677807,-75.5739682949616,141.601562,,,,,,,,
2001-12-04T03:15:42.097855,160.8256328358783,-75.1737977566224,-4.648438,2001-12-04T03:15:42.434013,-75.39544189858552,160.29678354961246,143.359375,,,,
2001-12-05T02:27:51.274041,161.05849408378398,-75.20143570042498,-4.824219,2001-12-05T02:27:51.167269,-75.18535020566954,161.11654484718846,-4.296875,,,,
2001-12-06T12:03:29.697942,161.19172164024582,-74.94279383676297,-4.648438,2001-12-06T12:03:29.823045,-74.89465162293368,161.12592227281485,82.1875,,,,
2001-12-09T06:03:26.594844,160.90906984235696,-75.28482677650096,-4.648438,2001-12-09T06:03:26.492912,-75.18991489530893,161.16879879476895,-2.890625,,,,
2001-12-09T18:05:16.635301,160.80540466856158,-75.36052902262084,-4.648438,2001-12-09T18:05:16.794254,-75.61998523851328,160.69776338225873,134.921875,,,,
2001-12-10T06:55:57.153804,160.97834157494006,-75.07671245528566,71.113281,2001-12-10T06:55:56.570654,-75.08434774261015,160.93186421775204,86.40625,,,,
2001-12-11T08:39:52.092507,160.6705368981421,-75.3297359615617,-4.648438,2001-12-11T08:39:52.720167,-75.32573258355679,160.5726711346941,-4.296875,,,,
2001-12-11T09:25:53.186997,160.87668133385796,-75.30317724231482,-4.824219,2001-12-11T09:25:54.023046,-75.42564179608662,160.8490739367375,125.078125,,,,
2001-12-13T11:06:53.684780,160.37109182212114,-75.22726146177332,-4.648438,2001-12-13T11:06:54.403842,-75.21088800932837,160.55532660419482,-4.296875,,,,
2001-12-14T18:48:12.203592,161.18388200388944,-75.1348109872214,-4.296875,2001-12-14T18:48:12.353550,-75.00369632584624,161.73003538335217,24.53125,,,,
2001-12-16T20:59:29.972033,160.9651035496151,-75.09201030728605,-4.648438,2001-12-16T20:59:29.690059,-75.1149689432017,161.06502899059984,115.9375,,,,
2001-12-18T18:22:45.181632,161.15297751141813,-75.37668032955925,-4.296875,,,,,,,,
2001-12-19T13:33:50.922391,161.1163071326363,-75.2182563724794,-4.648438,2001-12-19T13:33:51.790119,-75.22361034505613,161.12375510283624,-4.296875,,,,
2001-12-19T20:04:15.228454,161.08111539602643,-75.37517740480106,-4.648438,,,,,,,,
2001-12-20T02:40:29.369192,161.089536729544,-75.28178828314152,-4.648438,2001-12-20T02:40:28.861797,-75.25729919518591,161.07850330473335,-4.296875,,,,
2001-12-20T13:00:06.859643,161.17446829466627,-75.169250274811,81.660156,2001-12-20T13:00:06.235040,-75.20676345039998,161.14630286284915,-4.296875,,,,
2001-12-20T21:41:04.888332,161.18388200388944,-75.1348109872214,-2.890625,2001-12-20T21:41:06.140219,-75.58820276521611,160.23052113882696,162.34375,,,,
2001-12-21T01:08:50.732974,160.90887603075151,-75.4685581632378,120.859375,,,,,,,,
2001-12-22T00:05:07.960165,161.0440738433926,-75.15781966843319,84.121094,2001-12-22T00:05:08.029946,-75.39289249790959,160.4787529427248,139.140625,,,,
2001-12-23T07:21:55.999935,160.74103895290395,-75.36428428187578,-4.648438,2001-12-23T07:21:56.821920,-75.38735654058786,160.84249005633058,-4.296875,,,,
2001-12-24T12:32:22.657364,160.56839318160678,-75.16959101537248,69.882812,2001-12-24T12:33:07.678215,-77.24016811245419,158.31125356284312,16.796875,,,,
2001-12-27T09:14:33.415894,160.7631007889126,-75.08574085832272,64.082031,2001-12-27T09:14:33.785877,-74.9756900285537,160.8750910713101,44.921875,,,,
2002-01-13T17:51:14.171358,160.69897390332073,-75.5870519798652,145.117188,,,,,,,,
2002-01-14T09:22:58.772969,165.17542268202155,-76.3821245038438,174.296875,2002-01-14T09:23:36.780788,-76.90196585671482,157.04853703215505,16.09375,,,,
2002-01-14T17:01:26.613840,160.6624272595465,-75.44226284180276,57.226562,2002-01-14T17:01:28.398605,-75.39487024267939,160.71350550045202,40.703125,,,,
2002-01-20T07:14:11.171752,160.13839499217445,-75.53731272412156,159.882812,,,,,,,,
2002-01-22T19:23:26.015809,161.1625565644424,-74.88851438505642,-4.296875,2002-01-22T19:23:23.926936,-74.9556912190702,160.75792282032415,145.46875,,,,
2002-01-26T13:35:32.425496,160.95133151908453,-74.8319556587547,70.234375,2002-01-26T13:35:30.777429,-74.91278372253447,160.700609007381,120.15625,,,,
2002-03-06T04:41:39.858038,159.86413973943934,-75.24204629749909,125.078125,,,,,,,,
2002-11-15T13:01:19.304167,162.0587893908849,-74.94732948881281,78.671875,2002-11-15T13:01:18.846893,-75.19787606569533,162.14785231205892,147.578125,,,,
2002-11-15T14:54:46.092301,162.01411535248246,-75.07453202206328,68.828125,2002-11-15T14:54:46.104887,-75.1403245751504,162.0176601356518,69.53125,,,,
2002-11-19T13:00:56.884876,160.8777545041481,-75.17843014439985,-4.648438,2002-11-19T13:00:56.486055,-75.17618442875103,161.01213478577668,-4.296875,,,,
2002-11-20T11:36:37.512499,162.35893444673076,-75.02835313253264,1.328125,2002-11-20T11:36:38.834748,-74.94562657173816,162.37466350452024,18.90625,,,,
2002-11-21T12:18:02.522605,160.55669978438303,-75.26293406922952,-4.648438,2002-11-21T12:18:03.296252,-75.09654424003679,160.85740038341928,25.9375,,,,
2002-11-21T15:11:45.760554,161.2962406580005,-75.28087180597826,125.429688,,,,,,,,
2002-11-21T15:29:52.531560,161.3939950184911,-75.28456136958945,-0.078125,,,,,,,,
2002-11-23T02:48:56.398916,161.097850755285,-75.1884177420104,72.695312,2002-11-23T02:48:57.044378,-75.19446743572416,161.221085267203,5.546875,,,,
2002-11-24T16:23:45.174692,161.37161377655113,-75.30143585891214,6.953125,,,,,,,,
2002-11-27T02:35:35.902200,161.25834822122016,-75.1554061517578,-4.648438,2002-11-27T02:35:35.788834,-75.14389586278405,161.28810452716223,-4.296875,,,,
2002-11-27T14:55:30.863571,161.1686786202914,-75.22282143103794,-4.648438,2002-11-27T14:55:30.880663,-75.27872040815048,160.9467770385371,114.179688,,,,
2002-11-28T00:41:32.636291,160.96846915840956,-75.32771442701902,-4.648438,2002-11-28T00:41:32.588159,-75.33383681394002,161.0928327503939,-4.296875,,,,
2002-11-28T01:46:39.678744,161.17954873127363,-75.34604320031355,-4.648438,2002-11-28T01:46:39.788972,-75.34604320031355,161.17954873127363,-4.648438,,,,
2002-11-28T02:31:24.353105,161.84541826325156,-75.11653461028106,11.171875,2002-11-28T02:31:22.820131,-75.12278839143642,161.80850366302664,4.84375,,,,
2002-11-28T11:05:12.752879,161.6975715573582,-75.14151353627794,39.296875,,,,,,,,
